,base_market,quote_market,hedge_ratio,half_life
71,NEAR-USD,UMA-USD,0.8262579896993056,2.0
72,NEAR-USD,AVAX-USD,0.1082193782679325,4.0
73,ALGO-USD,ADA-USD,0.4438854574996582,3.0
74,ALGO-USD,UMA-USD,0.07747381247234394,4.0
75,ALGO-USD,DOT-USD,0.025854118670671104,10.0
76,ALGO-USD,AAVE-USD,0.00227778729269229,7.0
77,ALGO-USD,AVAX-USD,0.01014725999032362,6.0
78,SUSHI-USD,UMA-USD,0.39555634952114793,2.0
79,SUSHI-USD,BTC-USD,2.2292975615970243e-05,9.0
80,SUSHI-USD,LTC-USD,0.007707004641404779,5.0
81,SUSHI-USD,1INCH-USD,2.146183389831371,5.0
82,SUSHI-USD,AVAX-USD,0.05180890097977332,3.0
83,SUSHI-USD,ETH-USD,0.0003448662478276532,3.0
84,UMA-USD,LTC-USD,0.019483718132681363,4.0
85,UMA-USD,AAVE-USD,0.029399838010591692,3.0
86,BTC-USD,CRV-USD,42612.13994926851,3.0
87,CRV-USD,SOL-USD,0.03977308321094924,3.0
88,CRV-USD,ETH-USD,0.00036296455283427284,7.0
89,DOGE-USD,AAVE-USD,0.0012059372808820518,5.0
90,DOGE-USD,ETH-USD,3.576089583030975e-05,5.0
91,LTC-USD,ETH-USD,0.044741862256989666,9.0
92,AAVE-USD,ETH-USD,0.029653618563528276,2.0
93,1INCH-USD,ETH-USD,0.00016067403708168953,9.0
